OBJECTID,CNN,CNNTEXT,ST_NAME1,ST_TYPE1,ST_NAME2,ST_TYPE2,ST_NAME3,ST_TYPE3,ST_NAME4,ST_TYPE4,TOTEMP2,UNIVPROX,SIGNALIZED,PKGMETERS,MAXPCTSLPE,MODEL6_VOL,HH_PEDMODE,PCOL_04_09,PCOL_RATE,point
4793,27809000,27809000,LINCOLN,WAY,44TH,AVE, , , , ,256,0,0,0,2,335739,1066,0,0,POINT (-122.50404877604129 37.764261172398136)
8082,26575000,26575000,VALLEJO,ST,OCTAVIA,ST, , , , ,2411,0,0,0,19,303260,4244,0,0,POINT (-122.42853781335499 37.79606289291622)
4020,21941000,21941000,WILDER,ST,DIAMOND,ST, , , , ,1358,0,0,0,4,1381575,1287,1,1.45000005,POINT (-122.43394718438775 37.73425961513534)
6909,26951000,26951000,JACKSON,ST,SPRUCE,ST, , , , ,3961,0,0,0,4,101452,1037,0,0,POINT (-122.45412090920235 37.78998031876091)
4344,23415000,23415000,34TH,AVE,PACHECO,ST, , , , ,1126,0,0,0,2,209872,1054,0,0,POINT (-122.49228492862824 37.74980051329694)
4584,51787000,51787000,PERSHING,DR,BLISS,CT,BOWLEY,CT, , ,732,0,0,0,20,78188,322,0,0,POINT (-122.47985044299097 37.79190167879212)
6635,27497000,27497000,20TH,AVE,BALBOA,ST, , , , ,1079,0,0,0,5,321771,2288,0,0,POINT (-122.47910635633352 37.77654633833555)
5844,27669000,27669000,SCENIC,WAY,26TH,AVE, , , , ,338,0,0,0,6,208013,1016,0,0,POINT (-122.486412182025 37.788295908596275)
5775,27743000,27743000,37TH,AVE,IRVING,ST, , , , ,607,0,0,0,9,290261,775,0,0,POINT (-122.4964145598102 37.762711337218)
6497,26686000,26686000,UNION,ST,VAN NESS,AVE, , , , ,3321,0,1,0,12,3865134,4971,2,1.02999997,POINT (-122.42398214418068 37.79855245311751)
2770,24061000,24061000,26TH,ST,VIRGIL,ST, , , , ,4032,0,0,1,4,546824,2531,1,3.66000009,POINT (-122.41538857940803 37.749206155509675)
6862,26873000,26873000,UNION,ST,SCOTT,ST, , , , ,829,0,0,1,2,147554,1968,0,0,POINT (-122.44042174419174 37.796461442364965)
1482,52036000,52036000,MILTON,ST,CAYUGA,AVE, , , , ,1339,0,0,0,17,202600,1351,0,0,POINT (-122.42895261186631 37.73168495391587)
47,22512000,22512000,PALMETTO,AVE,VICTORIA,ST, , , , ,655,0,0,0,9,217985,732,0,0,POINT (-122.46525865951538 37.71076506730335)
6882,34160000,34160000,MISSION BAY,BLVD,03RD,ST, , , , ,321,1,0,0,17,643607,100,0,0,POINT (-122.38955227754447 37.77065258083098)
1612,22642000,22642000,MIRAMAR,AVE,NORTHWOOD,DR, , , , ,561,1,0,0,7,314530,830,0,0,POINT (-122.45821836029262 37.730095105248495)
6325,25119000,25119000,WASHINGTON,ST,JONES,ST, , , , ,2237,0,0,1,23,275984,6235,0,0,POINT (-122.41464763191692 37.794109806882076)
5609,20375000,20375000,SCHWERIN,ST,KELLOCH,AVE, , , , ,1276,0,0,0,4,340889,616,0,0,POINT (-122.41223274655579 37.70861467845202)
6653,27473000,27473000,14TH,AVE,BALBOA,ST, , , , ,1299,0,1,0,4,325589,1858,0,0,POINT (-122.47257167097511 37.77684400965298)
240,51916000,51916000,EARL,ST,RICHTER,AVE, , , , ,329,0,0,0,6,51541,10,0,0,POINT (-122.39055967186142 37.70921276426454)
972,22104000,22104000,SENECA,AVE,SAN JOSE,AVE, , , , ,404,1,0,0,7,447542,631,0,0,POINT (-122.4458549174021 37.72162859884701)
94,21437000,21437000,NEWTON,ST,BRUNSWICK,ST, , , , ,757,0,0,0,6,245669,1381,0,0,POINT (-122.43805871638969 37.712021368853634)
2376,21888000,21888000,RANDALL,ST,HARPER,ST, , , , ,617,0,0,0,43,93741,1763,0,0,POINT (-122.42984027461328 37.74075294416749)
607,23036000,23036000,GONZALEZ,DR,JOSEPHA,AVE, , , , ,1007,0,0,0,7,366735,1554,0,0,POINT (-122.47750075090687 37.716014226298654)
6455,51333000,51333000,UNNAMED 152,0,HWY 101 S OF,RAMP,HWY 101 S ON,RAMP,MERCHANT,RD,562,0,0,0,5,173839,27,0,0,POINT (-122.47538893345842 37.80633679782139)
5535,25692000,25692000,ALBION,ST,17TH,ST, , , , ,2210,0,0,1,5,411833,3357,0,0,POINT (-122.42269865902881 37.76324332295625)
7580,24585000,24585000,BONIFACIO,ST,MABINI,ST, , , , ,59500,0,0,1,8,2230485,2410,0,0,POINT (-122.3998334508924 37.78221337951423)
1350,52198000,52198000,UNNAMED 128,0,SPEAR,AVE, , , , ,957,0,0,0,0,390039,371,0,0,POINT (-122.36123980624998 37.72695941941147)
1575,22752000,22752000,KENWOOD,WAY,FAIRFIELD,WAY,MANOR,DR, , ,438,0,0,0,13,98340,999,0,0,POINT (-122.46407042826635 37.728253107143246)
3923,24305000,24305000,09TH,ST,HOWARD,ST, , , , ,15249,0,1,1,5,5353135,1250,5,1.87,POINT (-122.41316110904809 37.77499175181647)
5737,50534000,50534000,LOCKSLEY,AVE,MORAGA,ST, , , , ,2240,1,0,0,4,204675,4,0,0,POINT (-122.46282185447097 37.7569617386727)
5692,51241000,51241000,DEWITT,RD,LETTERMAN,DR, , , , ,64,0,0,0,12,273842,726,0,0,POINT (-122.44954196064006 37.797900644052945)
1016,33416000,33416000,JUNIPERO SER,BLVD,ESTERO,AVE, , , , ,411,1,0,0,37,448621,698,0,0,POINT (-122.47186979597267 37.723743527988496)
3220,25427000,25427000,MASON,ST,UNION,ST, , , , ,4035,0,0,0,10,1181534,4862,1,1.69000006,POINT (-122.41247137769496 37.800032399162696)
285,20405000,20405000,BURR,AVE,ARGONAUT,AVE, , , , ,676,0,0,0,16,371866,1098,0,0,POINT (-122.41499254356266 37.71005512882706)
7849,24779000,24779000,WENTWORTH,PL,JACKSON,ST, , , , ,17794,0,0,1,15,3272278,6716,0,0,POINT (-122.40622473616948 37.796077504847474)
5281,26724000,26724000,FRANKLIN,ST,FRANCISCO,ST, , , , ,2215,0,1,0,13,503590,2535,0,0,POINT (-122.42656520163419 37.802998030734415)
772,22613000,22613000,ASHTON,AVE,HOLLOWAY,AVE, , , , ,617,0,0,0,12,239202,1232,0,0,POINT (-122.46226548749897 37.72182779493358)
5830,33551000,33551000,EASEMENT,0,26TH,AVE, , , , ,161,0,0,0,7,195096,659,0,0,POINT (-122.4863989174897 37.78811291689055)
